,Txn Date,Value Date,Cheque No.,Description,Branch Code,Debit,Credit,Balance
19,05-06-2024 20:57:17,06 Jun 2024,452349856495.0,UPI/DR/452349856495/LOGANATHA/YESB/**3enle@paytm/UPI//ICI76d9bfa29afd4001a5cc5461dab91591/05/06/2024 20:57:17,33,40.00,,177.97
20,05-06-2024 20:58:21,06 Jun 2024,415784860003.0,UPI/DR/415784860003/KAVITHA S/YESB/**lff33@paytm/UPI//ICI86d9beed463d4a348b72000b12b9dab0/05/06/2024 20:58:21,33,10.00,,167.97
21,05-06-2024 21:01:45,06 Jun 2024,415715554421.0,UPI/DR/415715554421/Smart Poi/JIOP/**63-01@jiopay/UPI//ICI41f368fb9367482192f65cd4fc9d919d/05/06/2024 21:01:45,33,19.00,,148.97
22,05-06-2024 23:35:17,06 Jun 2024,452362273938.0,UPI/DR/452362273938/KENCHE GO/YESB/**go1sh@paytm/UPI//ICId07ea0b89ece4bc9aed01b8639c5af86/05/06/2024 23:35:17,33,5.00,,143.97
23,06-06-2024 01:41:21,06 Jun 2024,415866070752.0,UPI/DR/415866070752/Magicpin/YESB/**6qswf@paytm/UPI//PYTM40606800451788900357/06/06/2024 01:41:21,33,37.75,,106.22
24,06-06-2024 10:11:19,06 Jun 2024,415853874190.0,UPI/DR/415853874190/SANTHOSHA/YESB/**17960@ybl/UPI//ICIac19f81ae6764f259a9edf04bf46ce90/06/06/2024 10:11:19,33,10.00,,96.22
25,06-06-2024 11:44:53,06 Jun 2024,415868982085.0,UPI/DR/415868982085/MANJUNATH/YESB/**k3bfz@paytm/UPI//ICIa0c45d9fc1b943fab00e299d6905e4a7/06/06/2024 11:44:53,33,20.00,,76.22
26,06-06-2024 11:46:56,06 Jun 2024,415878285579.0,UPI/DR/415878285579/MANJUNATH/YESB/**k3bfz@paytm/UPI//ICI62004a48e0484aad8d482c2867b9b542/06/06/2024 11:46:56,33,40.00,,36.22
27,06-06-2024 12:05:47,06 Jun 2024,415856882916.0,UPI/DR/415856882916/JUSTVEND /ICIC/**3.rzp@icici/PayJustV//ICI34f7a5c8cc6c480c866fdf717a5b4cef/06/06/2024 12:05:46,33,30.00,,6.22
28,06-06-2024 20:59:12,07 Jun 2024,415802638677.0,UPI/CR/415802638677/Quadrilli/ICIC/**youts@icici/none//ICI0f82325150244ffd994604b6fc339ed1/06/06/2024 20:59:12,33,,100.00,106.22
29,06-06-2024 20:59:26,07 Jun 2024,452493815940.0,UPI/DR/452493815940/Smart Poi/JIOP/**63-01@jiopay/UPI//ICIbd992b71756f4c6bb66043eef43d100f/06/06/2024 20:59:26,33,62.35,,43.87
30,07-06-2024 13:40:24,07 Jun 2024,415911233427.0,UPI/DR/415911233427/Smart Poi/JIOP/**55-01@jiopay/UPI//ICI2446849750354cd9968e7095f2e9d24d/07/06/2024 13:40:24,33,19.00,,24.87
31,07-06-2024 17:35:17,07 Jun 2024,415906125348.0,UPI/CR/415906125348/Quadrilli/ICIC/**youts@icici/none//ICI60db9941b6e44f16a789f819d93c008f/07/06/2024 17:35:17,33,,100.00,124.87
32,07-06-2024 17:39:00,07 Jun 2024,415918142045.0,UPI/DR/415918142045/Smart Poi/JIOP/**63-01@jiopay/UPI//ICIe21091aa53164dbe805dd42480013abf/07/06/2024 17:39:00,33,55.20,,69.67
33,07-06-2024 17:45:30,07 Jun 2024,452510143439.0,UPI/DR/452510143439/AJAY KUMA/YESB/**46331@ybl/UPI//ICI97a11bdd4d664bca979b705f6a54dd19/07/06/2024 17:45:30,33,25.00,,44.67
34,08-06-2024 11:50:38,08 Jun 2024,416009008648.0,UPI/CR/416009008648/Quadrilli/ICIC/**youts@icici/none//ICIf6a6032df7d34753a17c6cd68cb85cd4/08/06/2024 11:50:37,33,,100.00,144.67
35,08-06-2024 11:54:26,08 Jun 2024,416019973747.0,UPI/DR/416019973747/MANJUNATH/YESB/**k3bfz@paytm/UPI//ICI8e78d5415b4e4e26a6c5d12da444ab23/08/06/2024 11:54:26,33,30.00,,114.67
36,08-06-2024 12:19:53,08 Jun 2024,452688288645.0,UPI/DR/452688288645/JUSTVEND /ICIC/**3.rzp@icici/PayJustV//ICI89042b09613c47bb85f033819360e52f/08/06/2024 12:19:53,33,60.00,,54.67
37,08-06-2024 14:04:27,08 Jun 2024,416073323883.0,UPI/CR/416073323883/DIVYANSHU/ICIC/**77736@ibl/Payment //IBLbfbe5294bdfc4d74a036a251887f6e92/08/06/2024 14:04:27,33,,"1,000.00","1,054.67"
38,08-06-2024 14:28:36,08 Jun 2024,452669080266.0,UPI/DR/452669080266/Smart Poi/JIOP/**63-01@jiopay/UPI//ICIde014a986499457799cc21a8babc6cd4/08/06/2024 14:28:36,33,19.00,,"1,035.67"
39,08-06-2024 16:50:27,08 Jun 2024,416005388165.0,UPI/DR/416005388165/Smart Poi/JIOP/**63-01@jiopay/UPI//ICI281c6322805e438cb9176281d55e5727/08/06/2024 16:50:27,33,46.27,,989.40
40,08-06-2024 19:54:54,09 Jun 2024,416038405965.0,UPI/DR/416038405965/RAJINA K/YESB/**29wbw@paytm/UPI//ICIfc8d93d7431a48f296b35047c90a2305/08/06/2024 19:54:54,33,20.00,,969.40
41,08-06-2024 20:29:51,09 Jun 2024,452618013095.0,UPI/DR/452618013095/Shamsudhe/YESB/**5epn4@paytm/UPI//ICI7ef5ff09a0e24403b21acfd22b5d463c/08/06/2024 20:29:51,33,20.00,,949.40
42,08-06-2024 21:27:48,09 Jun 2024,452695813995.0,UPI/DR/452695813995/KAVITHA/YESB/**ingk4@paytm/UPI//ICI0421abb6d298440f9fa8b2c87bb828fd/08/06/2024 21:27:48,33,176.00,,773.40
43,08-06-2024 21:36:59,09 Jun 2024,416082623638.0,UPI/DR/416082623638/VENKATESH/YESB/**7wr11@paytm/UPI//ICI76e20bd70f3c40a8bb6a9e4ac8ce31e5/08/06/2024 21:36:59,33,500.00,,273.40
44,09-06-2024 02:57:02,09 Jun 2024,416112068413.0,UPI/CR/416112068413/Quadrilli/ICIC/**youts@icici/none//ICIe5b437ffa26c463eb4489cb1e7990868/09/06/2024 02:57:02,33,,"1,650.00","1,923.40"
45,09-06-2024 02:58:23,09 Jun 2024,416177044252.0,UPI/DR/416177044252/GARAGEPRE/UTIB/**e.rzp@axisbank/PayviaRa//AXB73e640c228d444d692b2e55cce4f39d8/09/06/2024 02:58:23,33,"1,550.00",,373.40
46,09-06-2024 03:01:50,09 Jun 2024,416190720836.0,UPI/DR/416190720836/ZOMATO LI/UTIB/**.gpay@okpayaxis/UPI//ICIcc715daac43d4444b374e1913330e410/09/06/2024 03:01:50,33,112.69,,260.71
47,09-06-2024 12:38:48,09 Jun 2024,416136430089.0,UPI/DR/416136430089/FAMILIES /YESB/**52971@ybl/UPI//ICI6cc8e39da68543d49317019ab7a63738/09/06/2024 12:38:48,33,12.00,,248.71
48,09-06-2024 14:31:46,09 Jun 2024,452787536148.0,UPI/DR/452787536148/Google In/ICIC/**harge@icici/UPI//ICI273121a2df6245968f5e371f343ac765/09/06/2024 14:31:46,33,39.00,,209.71
49,10-06-2024 00:25:03,10 Jun 2024,416215883933.0,UPI/CR/416215883933/Quadrilli/ICIC/**youts@icici/none//ICI1db142044c1340cca0330cc873525581/10/06/2024 00:25:03,33,,100.00,309.71
50,10-06-2024 00:25:42,10 Jun 2024,452844567146.0,UPI/DR/452844567146/Dominos P/YESB/**55531@paytm/UPI//ICI2cf12bdc6e0d45e29b192e12040e622e/10/06/2024 00:25:42,33,147.90,,161.81
51,10-06-2024 02:25:47,10 Jun 2024,416286983146.0,UPI/DR/416286983146/Google In/ICIC/**harge@icici/UPI//ICIf997dd76c8eb4b1ea50f8fb5bf7687eb/10/06/2024 02:25:46,33,39.00,,122.81
52,10-06-2024 17:57:28,10 Jun 2024,416237907205.0,UPI/DR/416237907205/Raj Dev K/YESB/**4rp14@paytm/UPI//ICI0208ed2c0ea14da18043f1109f92f30f/10/06/2024 17:57:28,33,5.00,,117.81
53,10-06-2024 20:48:45,10 Jun 2024,452879406735.0,UPI/DR/452879406735/FAMILIES /YESB/**62585@ybl/UPI//ICI4bb75d0a1ec149f29af0e537de427652/10/06/2024 20:48:45,33,56.00,,61.81
54,10-06-2024 20:56:17,11 Jun 2024,416203927646.0,UPI/DR/416203927646/R M Green/YESB/**8wd2v@paytm/UPI//ICI81f1722e5be24bda9e2ed9ff0ccba207/10/06/2024 20:56:17,33,20.00,,41.81
55,10-06-2024 20:59:08,11 Jun 2024,452883217687.0,UPI/DR/452883217687/KARTHIKA /YESB/**7jvrs@paytm/UPI//ICI39a7d62807884d029a60616aa4cb7491/10/06/2024 20:59:08,33,25.00,,16.81
56,10-06-2024 21:01:11,11 Jun 2024,452862414941.0,UPI/DR/452862414941/AAI MATHA/YESB/**njrqi@paytm/UPI//ICI9e8278d9a2514a4aad49c823de032b57/10/06/2024 21:01:11,33,10.00,,6.81
57,11-06-2024 13:27:09,11 Jun 2024,416333139099.0,UPI/DR/416333139099/Raj Dev K/YESB/**4fg6p@paytm/UPI//ICIfae822b22fd9464cb77fb558fb0a9517/11/06/2024 13:27:09,33,4.00,,2.81
58,11-06-2024 16:19:46,11 Jun 2024,416322860801.0,UPI/CR/416322860801/Quadrilli/ICIC/**youts@icici/none//ICI6edc478164b74ece86d79748c7517ae4/11/06/2024 16:19:46,33,,100.00,102.81
59,11-06-2024 18:46:53,11 Jun 2024,416376967195.0,UPI/DR/416376967195/KUMAR BAB/YESB/**97543@ybl/UPI//ICI48f444e5a47d4b0a85e7b2eb5fe3754b/11/06/2024 18:46:53,33,90.00,,12.81
60,11-06-2024 22:15:11,12 Jun 2024,416324353253.0,UPI/CR/416324353253/Quadrilli/ICIC/**youts@icici/none//ICIa9dab045672a42ceb8af8c250fb16fe2/11/06/2024 22:15:11,33,,100.00,112.81
61,11-06-2024 22:15:39,12 Jun 2024,416306973017.0,UPI/DR/416306973017/SATHISHKU/YESB/**2b516@paytm/UPI//ICI156fbba3a9a94a7fa2c4d8ee61768e08/11/06/2024 22:15:39,33,100.00,,12.81
62,12-06-2024 12:44:48,12 Jun 2024,416426241446.0,UPI/CR/416426241446/Quadrilli/ICIC/**youts@icici/none//ICIba24c2130af84c59b9ced69d2ea6a1c6/12/06/2024 12:44:48,33,,100.00,112.81
63,12-06-2024 12:46:06,12 Jun 2024,453076586598.0,UPI/DR/453076586598/JUSTVEND /ICIC/**7.rzp@icici/PayJustV//ICI7bae998e6bc84276b9a4085f02fc08f3/12/06/2024 12:46:06,33,30.00,,82.81
64,12-06-2024 14:15:51,12 Jun 2024,453098688402.0,UPI/DR/453098688402/JUSTVEND /ICIC/**7.rzp@icici/PayJustV//ICI3227c71a5d0b49a398954af16b40eeca/12/06/2024 14:15:51,33,40.00,,42.81
65,12-06-2024 18:46:30,12 Jun 2024,416427731537.0,UPI/CR/416427731537/Quadrilli/ICIC/**youts@icici/none//ICId6a307bf323b439ca372d92b4ba8a916/12/06/2024 18:46:30,33,,100.00,142.81
66,12-06-2024 18:46:45,12 Jun 2024,453032503296.0,UPI/DR/453032503296/Smart Poi/JIOP/**63-01@jiopay/UPI//ICI7b05da355ab54eb1a2b0c8b6adbbc2ab/12/06/2024 18:46:45,33,45.67,,97.14
67,12-06-2024 20:36:05,13 Jun 2024,416442400252.0,UPI/DR/416442400252/MMS Count/YESB/**30580@paytm/UPI//ICI1f04e56be58e44209cd8764caed0fdf3/12/06/2024 20:36:05,33,40.00,,57.14
68,13-06-2024 13:27:23,13 Jun 2024,416523634855.0,UPI/DR/416523634855/JUSTVEND /ICIC/**3.rzp@icici/PayJustV//ICI36394870bd1244d089c2761e701f1112/13/06/2024 13:27:23,33,30.00,,27.14
69,13-06-2024 20:14:07,13 Jun 2024,416532325219.0,UPI/CR/416532325219/Quadrilli/ICIC/**youts@icici/none//ICIe79ccac1501b47e29883507ce4654ac7/13/06/2024 20:14:06,33,,100.00,127.14
70,13-06-2024 20:14:37,13 Jun 2024,453184363598.0,UPI/DR/453184363598/MMS Count/YESB/**30576@paytm/UPI//ICI7f5171a9abd24a789fd6efdd5c38444d/13/06/2024 20:14:37,33,50.00,,77.14
71,13-06-2024 21:35:08,14 Jun 2024,416539467429.0,UPI/DR/416539467429/HEALTH AN/YESB/**a56m6@paytm/UPI//ICIe7242b86155a4c72bcbae8c4f2c69f8b/13/06/2024 21:35:08,33,70.00,,7.14
72,13-06-2024 21:37:10,14 Jun 2024,416532682302.0,UPI/CR/416532682302/Quadrilli/ICIC/**youts@icici/none//ICIe5eb48fbe8d54be2ad2c119bd62fce59/13/06/2024 21:37:10,33,,100.00,107.14
73,13-06-2024 21:41:08,14 Jun 2024,453169861267.0,UPI/DR/453169861267/AJAY KUMA/YESB/**46331@ybl/UPI//ICI4d7f0024184d40cb9643851a0531c177/13/06/2024 21:41:08,33,25.00,,82.14
74,14-06-2024 17:03:33,14 Jun 2024,416651788650.0,UPI/DR/416651788650/Smart Poi/JIOP/**63-01@jiopay/UPI//ICI089cbcd5e4e2421aa895a66a91361c87/14/06/2024 17:03:33,33,43.33,,38.81
75,14-06-2024 20:04:45,14 Jun 2024,416608517564.0,UPI/DR/416608517564/MMS Count/YESB/**30576@paytm/UPI//ICI0c3a437aba604d5fb8eef28349852fe9/14/06/2024 20:04:45,33,20.00,,18.81
76,15-06-2024 14:51:47,15 Jun 2024,416778609919.0,UPI/CR/416778609919/SATHISH S/CNRB/**268-1@oksbi/UPI//SBIfcdd4b2c7c1049f6a8ee24bdadc29d26/15/06/2024 14:51:47,33,,"5,500.00","5,518.81"
